ORIGIN_ID,ORIGIN_LABEL,DESTINATION_ID,DESTINATION_LABEL,ORIGIN_N,ORIGIN_E,DESTINATION_N,DESTINATION_E,COUNT
12478,John F. Kennedy International,12892,Los Angeles International,40.63980103,286.2210999,33.94250107,241.5920029,245
12892,Los Angeles International,12478,John F. Kennedy International,33.94250107,241.5920029,40.63980103,286.2210999,200
11298,Dallas/Fort Worth International,12173,Honolulu International,32.89680099,262.961998,21.31870079,202.0780029,14
13830,Kahului Airport,11298,Dallas/Fort Worth International,20.89859962,203.5700073,32.89680099,262.961998,6
11298,Dallas/Fort Worth International,13830,Kahului Airport,32.89680099,262.961998,20.89859962,203.5700073,10
12173,Honolulu International,11298,Dallas/Fort Worth International,21.31870079,202.0780029,32.89680099,262.961998,11
12892,Los Angeles International,13303,Miami International,33.94250107,241.5920029,25.79319954,279.7093964,26
10721,Logan International,13930,Chicago O'Hare International,45.80770111,251.4570007,41.97859955,272.0951996,106
14771,San Francisco International,12478,John F. Kennedy International,37.61899948,237.625,40.63980103,286.2210999,142
10397,Hartsfield-Jackson Atlanta International,13303,Miami International,33.63669968,275.5718994,25.79319954,279.7093964,115
11278,Ronald Reagan Washington National,13303,Miami International,38.85210037,282.9623032,25.79319954,279.7093964,65
10721,Logan International,12892,Los Angeles International,45.80770111,251.4570007,33.94250107,241.5920029,69
12953,LaGuardia,14027,Palm Beach International,40.77719879,286.1274033,26.68320084,279.9044037,116
14027,Palm Beach International,12953,LaGuardia,26.68320084,279.9044037,40.77719879,286.1274033,97
12892,Los Angeles International,12173,Honolulu International,33.94250107,241.5920029,21.31870079,202.0780029,106
11298,Dallas/Fort Worth International,14869,Salt Lake City International,32.89680099,262.961998,40.78839874,248.0220032,50
14027,Palm Beach International,13930,Chicago O'Hare International,26.68320084,279.9044037,41.97859955,272.0951996,20
11298,Dallas/Fort Worth International,11433,Detroit Metro Wayne County,32.89680099,262.961998,42.21239853,276.6465988,47
11433,Detroit Metro Wayne County,11298,Dallas/Fort Worth International,42.21239853,276.6465988,32.89680099,262.961998,51
12889,McCarran International,12478,John F. Kennedy International,36.08010101,244.8479996,40.63980103,286.2210999,81
13930,Chicago O'Hare International,13204,Orlando International,41.97859955,272.0951996,28.42939949,278.6910019,90
11298,Dallas/Fort Worth International,15376,Tucson International,32.89680099,262.961998,32.11610031,249.0589981,50
12892,Los Angeles International,15016,Lambert-St. Louis International,33.94250107,241.5920029,38.74869919,269.6299973,26
15016,Lambert-St. Louis International,12892,Los Angeles International,38.74869919,269.6299973,33.94250107,241.5920029,36
11298,Dallas/Fort Worth International,14057,Portland International,32.89680099,262.961998,45.58869934,237.4020004,56
14057,Portland International,11298,Dallas/Fort Worth International,45.58869934,237.4020004,32.89680099,262.961998,15
13930,Chicago O'Hare International,14679,San Diego International,41.97859955,272.0951996,32.73360062,242.8099976,95
14679,San Diego International,13930,Chicago O'Hare International,32.73360062,242.8099976,41.97859955,272.0951996,59
13303,Miami International,10721,Logan International,25.79319954,279.7093964,45.80770111,251.4570007,46
12892,Los Angeles International,13830,Kahului Airport,33.94250107,241.5920029,20.89859962,203.5700073,35
12173,Honolulu International,12892,Los Angeles International,21.31870079,202.0780029,33.94250107,241.5920029,32
10140,Albuquerque International Sunport,11298,Dallas/Fort Worth International,35.04019928,253.3909988,32.89680099,262.961998,31
11298,Dallas/Fort Worth International,10140,Albuquerque International Sunport,32.89680099,262.961998,35.04019928,253.3909988,60
11298,Dallas/Fort Worth International,11618,Newark Liberty International,32.89680099,262.961998,40.69250107,285.8312988,34
13930,Chicago O'Hare International,14107,Phoenix Sky Harbor International,41.97859955,272.0951996,33.43429947,247.987999,125
14107,Phoenix Sky Harbor International,13930,Chicago O'Hare International,33.43429947,247.987999,41.97859955,272.0951996,106
11298,Dallas/Fort Worth International,15016,Lambert-St. Louis International,32.89680099,262.961998,38.74869919,269.6299973,45
15016,Lambert-St. Louis International,11298,Dallas/Fort Worth International,38.74869919,269.6299973,32.89680099,262.961998,53
13303,Miami International,14771,San Francisco International,25.79319954,279.7093964,37.61899948,237.625,21
12889,McCarran International,12892,Los Angeles International,36.08010101,244.8479996,33.94250107,241.5920029,219
12892,Los Angeles International,12889,McCarran International,33.94250107,241.5920029,36.08010101,244.8479996,206
13930,Chicago O'Hare International,14027,Palm Beach International,41.97859955,272.0951996,26.68320084,279.9044037,17
11298,Dallas/Fort Worth International,14908,John Wayne Airport-Orange County,32.89680099,262.961998,33.67570114,242.1320038,47
14908,John Wayne Airport-Orange County,11298,Dallas/Fort Worth International,33.67570114,242.1320038,32.89680099,262.961998,34
11298,Dallas/Fort Worth International,13891,Ontario International,32.89680099,262.961998,34.05599976,242.3990021,28
13891,Ontario International,11298,Dallas/Fort Worth International,34.05599976,242.3990021,32.89680099,262.961998,19
12892,Los Angeles International,14771,San Francisco International,33.94250107,241.5920029,37.61899948,237.625,224
14771,San Francisco International,12892,Los Angeles International,37.61899948,237.625,33.94250107,241.5920029,190
11292,Denver International,11298,Dallas/Fort Worth International,39.86169815,255.3270035,32.89680099,262.961998,141
11298,Dallas/Fort Worth International,11292,Denver International,32.89680099,262.961998,39.86169815,255.3270035,132
14843,Luis Munoz Marin International,13303,Miami International,18.43939972,293.9981995,25.79319954,279.7093964,24
11503,Eagle County Regional,13303,Miami International,39.64260101,253.0820007,25.79319954,279.7093964,4
13303,Miami International,11503,Eagle County Regional,25.79319954,279.7093964,39.64260101,253.0820007,6
11292,Denver International,13303,Miami International,39.86169815,255.3270035,25.79319954,279.7093964,29
13303,Miami International,11292,Denver International,25.79319954,279.7093964,39.86169815,255.3270035,28
13930,Chicago O'Hare International,13303,Miami International,41.97859955,272.0951996,25.79319954,279.7093964,122
13930,Chicago O'Hare International,14057,Portland International,41.97859955,272.0951996,45.58869934,237.4020004,67
14057,Portland International,13930,Chicago O'Hare International,45.58869934,237.4020004,41.97859955,272.0951996,35
12892,Los Angeles International,11618,Newark Liberty International,33.94250107,241.5920029,40.69250107,285.8312988,71
11618,Newark Liberty International,12892,Los Angeles International,40.69250107,285.8312988,33.94250107,241.5920029,117
11298,Dallas/Fort Worth International,14771,San Francisco International,32.89680099,262.961998,37.61899948,237.625,135
14771,San Francisco International,11298,Dallas/Fort Worth International,37.61899948,237.625,32.89680099,262.961998,65
13303,Miami International,14492,Raleigh-Durham International,25.79319954,279.7093964,35.87760162,281.2125015,16
14492,Raleigh-Durham International,13303,Miami International,35.87760162,281.2125015,25.79319954,279.7093964,13
13930,Chicago O'Hare International,14747,Seattle/Tacoma International,41.97859955,272.0951996,47.44900131,237.6910019,114
14747,Seattle/Tacoma International,13930,Chicago O'Hare International,47.44900131,237.6910019,41.97859955,272.0951996,66
13930,Chicago O'Hare International,10721,Logan International,41.97859955,272.0951996,45.80770111,251.4570007,130
11298,Dallas/Fort Worth International,14635,Southwest Florida International,32.89680099,262.961998,26.53619957,278.2447968,19
14635,Southwest Florida International,11298,Dallas/Fort Worth International,26.53619957,278.2447968,32.89680099,262.961998,13
11298,Dallas/Fort Worth International,14831,Norman Y. Mineta San Jose International,32.89680099,262.961998,37.36259842,238.0709991,45
14831,Norman Y. Mineta San Jose International,11298,Dallas/Fort Worth International,37.36259842,238.0709991,32.89680099,262.961998,19
13930,Chicago O'Hare International,14100,Philadelphia International,41.97859955,272.0951996,39.87189865,284.7589035,111
14100,Philadelphia International,13930,Chicago O'Hare International,39.87189865,284.7589035,41.97859955,272.0951996,119
