AIRPORT_ID,LABEL,Northing,Westing,Easting,Delay_No_Outgoing,Delay_Min_Outgoing,Delay_No_Incoming,Delay_Min_Incoming
12478,John F. Kennedy International,40.63980103,-73.7789001,286.2210999,2492,215312,2065,168682
12892,Los Angeles International,33.94250107,-118.4079971,241.5920029,3801,210657,4015,245169
11298,Dallas/Fort Worth International,32.89680099,-97.038002,262.961998,5193,239400,4256,258617
13830,Kahului Airport,20.89859962,-156.4299927,203.5700073,141,6903,155,8958
12173,Honolulu International,21.31870079,-157.9219971,202.0780029,233,11542,559,26403
10721,Logan International,45.80770111,-108.5429993,251.4570007,2124,144071,1825,125933
14771,San Francisco International,37.61899948,-122.375,237.625,2712,151207,3387,202325
10397,Hartsfield-Jackson Atlanta International,33.63669968,-84.4281006,275.5718994,7923,508024,7528,546815
11278,Ronald Reagan Washington National,38.85210037,-77.0376968,282.9623032,1384,84270,1282,74730
12953,LaGuardia,40.77719879,-73.8725967,286.1274033,2471,168861,2199,151192
14027,Palm Beach International,26.68320084,-80.0955963,279.9044037,626,50158,829,53914
11433,Detroit Metro Wayne County,42.21239853,-83.3534012,276.6465988,2580,173138,1876,128497
12889,McCarran International,36.08010101,-115.1520004,244.8479996,2734,160814,2810,159551
13930,Chicago O'Hare International,41.97859955,-87.9048004,272.0951996,7884,568285,6509,494069
15016,Lambert-St. Louis International,38.74869919,-90.3700027,269.6299973,1300,77741,1277,73079
14057,Portland International,45.58869934,-122.5979996,237.4020004,686,37202,985,57560
14679,San Diego International,32.73360062,-117.1900024,242.8099976,1379,84422,1566,87893
13303,Miami International,25.79319954,-80.2906036,279.7093964,1461,80326,1593,101236
10140,Albuquerque International Sunport,35.04019928,-106.6090012,253.3909988,453,29259,572,34049
14107,Phoenix Sky Harbor International,33.43429947,-112.012001,247.987999,2865,147542,2558,142573
14908,John Wayne Airport-Orange County,33.67570114,-117.8679962,242.1320038,591,30689,637,30277
