Date,AA_arr_delay,AS_arr_delay,B6_arr_delay,DL_arr_delay,EV_arr_delay,F9_arr_delay,FL_arr_delay,HA_arr_delay,MQ_arr_delay,OO_arr_delay,UA_arr_delay,US_arr_delay,VX_arr_delay,WN_arr_delay,ArrDelay,AA_dept_delay,AS_dept_delay,B6_dept_delay,DL_dept_delay,EV_dept_delay,F9_dept_delay,FL_dept_delay,HA_dept_delay,MQ_dept_delay,OO_dept_delay,UA_dept_delay,US_dept_delay,VX_dept_delay,WN_dept_delay,DeptDelay,TotalCancel
2014-01-01,670,137,464,425,647,185,141,19,510,723,759,385,52,1906,7023,737,127,428,448,631,147,170,20,455,636,953,361,63,2051,7227,656
2014-01-02,1021,110,428,1380,1131,154,300,117,649,817,809,673,70,2241,9900,1002,92,408,1278,1056,138,287,73,578,757,950,595,77,2422,9713,1947
2014-01-03,754,146,346,1110,915,158,257,107,647,953,851,563,102,2379,9288,851,118,341,1247,969,147,282,68,611,913,1005,562,107,2469,9690,2425
2014-01-04,725,145,470,1057,913,159,281,70,483,971,839,610,107,2150,8980,846,146,474,1192,952,150,289,60,443,920,977,664,126,2301,9540,1227
2014-01-05,937,135,464,1393,1039,178,243,68,567,876,798,728,94,2060,9580,987,121,483,1464,983,158,232,46,502,845,921,711,120,2242,9815,2480
2014-01-06,884,83,280,1474,955,170,244,50,526,742,773,646,65,2310,9202,962,99,280,1526,939,164,239,30,475,730,1041,662,83,2532,9762,3143
2014-01-07,737,78,308,1408,780,96,227,98,607,593,536,504,76,2150,8198,862,68,319,1481,822,98,235,64,587,525,775,566,88,2413,8903,2156
2014-01-08,833,114,434,951,1036,93,148,46,794,917,593,444,92,2147,8642,854,101,442,1129,1029,85,183,18,690,788,785,482,92,2418,9096,630
2014-01-09,882,159,391,929,1125,118,169,38,732,954,556,459,60,2120,8692,860,89,393,887,1055,111,169,20,633,738,730,430,50,2306,8471,453
2014-01-10,769,135,457,1201,1214,136,196,69,777,771,675,666,65,2056,9187,712,95,405,1012,1074,124,185,39,695,615,785,520,72,2216,8549,439
2014-01-11,537,119,398,906,652,38,199,76,426,508,416,533,44,1160,6012,544,79,376,802,619,32,203,44,373,383,520,463,37,1400,5875,304
2014-01-12,423,137,291,396,521,97,70,28,347,607,354,287,32,1107,4697,531,74,366,513,605,83,102,18,307,492,633,289,49,1622,5684,198
2014-01-13,402,88,193,469,800,81,97,26,327,517,352,280,27,946,4605,466,67,235,485,776,65,83,12,268,419,465,223,29,1506,5099,148
2014-01-14,379,74,280,548,588,117,72,45,398,547,392,352,38,1107,4937,378,44,232,428,545,84,64,21,309,390,423,201,21,1427,4567,332
2014-01-15,442,83,363,722,754,70,125,74,445,519,426,496,42,1267,5828,427,67,278,568,668,60,111,39,312,323,516,338,21,1611,5339,177
2014-01-16,595,138,316,822,856,108,127,87,573,663,545,474,36,1656,6996,614,90,277,758,799,73,141,50,466,492,652,379,31,2007,6829,226
