Airports,Arr_Delay,Dep_Delay
Lehigh Valley International,57,39
Abilene Regional,61,58
Albuquerque International Sunport,818,860
Aberdeen Regional,17,18
Southwest Georgia Regional,19,20
Waco Regional,35,28
Arcata,77,74
Adak,4,5
Kodiak Airport,8,7
Alexandria International,106,91
Augusta Regional at Bush Field,93,74
Albany International,319,252
Waterloo Regional,23,21
Rick Husband Amarillo International,242,243
Ted Stevens Anchorage International,422,312
Alpena County Regional,20,15
Watertown International,21,21
Aspen Pitkin County Sardy Field,269,240
Hartsfield-Jackson Atlanta International,13196,14891
Outagamie County Regional,90,74
Austin - Bergstrom International,1424,1502
Asheville Regional,91,60
Wilkes Barre Scranton International,29,22
Kalamazoo/Battle Creek International,5,4
Bradley International,913,739
Bethel Airport,26,22
Meadows Field,90,64
Bangor International,18,13
Birmingham-Shuttlesworth International,470,461
Billings Logan International,71,56
Bismarck Municipal,80,64
Bemidji Regional,27,20
Branson Airport,39,33
Bellingham International,17,16
Central Illinois Regional,106,88
Nashville International,2299,2357
Boise Air Terminal,321,283
Logan International,3717,3140
Jack Brooks Regional,25,19
Brunswick Golden Isles,40,20
Rafael Hernandez,32,40
Brainerd Lakes Regional,37,25
Brownsville South Padre Island International,64,52
Wiley Post/Will Rogers Memorial,45,29
Bert Mooney,21,14
Baton Rouge Metropolitan/Ryan Field,230,197
Burlington International,132,113
Buffalo Niagara International,680,565
Bob Hope,644,750
Baltimore/Washington International Thurgood Marshall,4037,4539
Bozeman Yellowstone International,108,95
Columbia Metropolitan,215,184
Akron-Canton Regional,240,170
Cedar City Regional,17,10
Merle K Mudhole Smith,10,8
Jack McNamara Field,25,17
Lovell Field,106,74
Charlottesville Albemarle,37,23
Charleston AFB/International,364,340
Chico Municipal,45,31
The Eastern Iowa,221,223
McClellan-Palomar,73,53
Cleveland-Hopkins International,1519,1351
Easterwood Field,56,41
Charlotte Douglas International,4069,4022
Port Columbus International,1064,957
University of Illinois/Willard,96,75
Houghton County Memorial,31,20
